title,proveedor,img,iframe
FISHING GOD,Spadegaming,https://www.spadegaming.com/img/6ed325283090c41f7a16.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=F-SF01&language=en_US&menumode=off&type=web
FISHING WAR,Spadegaming,https://www.spadegaming.com/img/dc5f8a77472d131351ae.png,https://lobbyeur.sgplayfun.com/index.jsp?game=F-SF02&language=en_US&menumode=off&type=web
CAISHEN,Spadegaming,https://www.spadegaming.com/img/ba4eea38c5aefa83986a.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-CS02&language=en_US&menumode=off&type=web
CANDY CANDY,Spadegaming,https://www.spadegaming.com/img/a86ad52705a62c91a445.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-CP02&language=en_US&menumode=off&type=web
LEGACY OF KONG MAXWAYS,Spadegaming,https://www.spadegaming.com/img/e53138b9bdfceb10e1e0.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-LK03&language=en_US&menumode=off&type=web
MAGIC KITTY,Spadegaming,https://www.spadegaming.com/img/e1bd1ac96bf09bc14324.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-MK01&language=en_US&menumode=off&type=web
RUBY HOOD,Spadegaming,https://www.spadegaming.com/img/74eeae701dca9233fe4a.png,https://lobbyeur.sgplayfun.com/index.jsp?game=S-RH01&language=en_US&menumode=off&type=web
KUNGFU DRAGON,Spadegaming,https://www.spadegaming.com/img/26a090fa424224b84cf9.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-KF01&language=en_US&menumode=off&type=web
RISE OF WEREWOLVES,Spadegaming,https://www.spadegaming.com/img/088e9fc43dbb84993c59.png,https://lobbyeur.sgplayfun.com/index.jsp?game=S-RW01&language=en_US&menumode=off&type=web
HUGON QUEST,Spadegaming,https://www.spadegaming.com/img/15f8548d93660a413720.png,https://lobbyeur.sgplayfun.com/index.jsp?game=S-HQ01&language=en_US&menumode=off&type=web
FIERY SEVENS,Spadegaming,https://www.spadegaming.com/img/2d90f5cd2e0079eab80b.png,https://lobbyeur.sgplayfun.com/index.jsp?game=S-FS01&language=en_US&menumode=off&type=web
MAYAN GEMS,Spadegaming,https://www.spadegaming.com/img/21b84cac2f5e89eb7221.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-MG02&language=en_US&menumode=off&type=web
CRAZY BOMBER,Spadegaming,https://www.spadegaming.com/img/03b5b61218c452121219.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-CB01&language=en_US&menumode=off&type=web
MEGA 7,Spadegaming,https://www.spadegaming.com/img/da2af908f94e8a173ccc.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-MG01&language=en_US&menumode=off&type=web
JOKER'S TREASURE,Spadegaming,https://www.spadegaming.com/img/e89accb0287c453ef179.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-JT02&language=en_US&menumode=off&type=web
DOUBLE FLAME,Spadegaming,https://www.spadegaming.com/img/1591942cbb8658342798.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-DF03&language=en_US&menumode=off&type=web
BOOK OF MYTH,Spadegaming,https://www.spadegaming.com/img/459bfe92a48457eedbea.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-BM01&language=en_US&menumode=off&type=web
MONEY MOUSE,Spadegaming,https://www.spadegaming.com/img/06d2e8bbacb5f7aa636e.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-MM01&language=en_US&menumode=off&type=web
888,Spadegaming,https://www.spadegaming.com/img/37ba2ae0dc08b92a9ea0.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-BA01&language=en_US&menumode=off&type=web
THREE LUCKY STARS,Spadegaming,https://www.spadegaming.com/img/6947924cd5874c3a02c8.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-LS02&language=en_US&menumode=off&type=web
HEROES,Spadegaming,https://www.spadegaming.com/img/cd1cef91906f24014720.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-HE01&language=en_US&menumode=off&type=web
SWEET BAKERY,Spadegaming,https://www.spadegaming.com/img/0159eb888da3b4b1ff57.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-SB01&language=en_US&menumode=off&type=web
MAGICAL LAMP,Spadegaming,https://www.spadegaming.com/img/75b2313410e8bd23cd95.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-ML01&language=en_US&menumode=off&type=web
DANCING FEVER,Spadegaming,https://www.spadegaming.com/img/19281a82c1de2d509969.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-DF02&language=en_US&menumode=off&type=web
GOLD PANTHER,Spadegaming,https://www.spadegaming.com/img/76605357b4a246981521.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-GP01&language=en_US&menumode=off&type=web
TRIPLE PANDA,Spadegaming,https://www.spadegaming.com/img/6e24332ca4326ae82832.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-TP02&language=en_US&menumode=off&type=web
FAFAFA,Spadegaming,https://www.spadegaming.com/img/d5526d33a91c7585ab76.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-LY01&language=en_US&menumode=off&type=web
GOLDEN WHALE,Spadegaming,https://www.spadegaming.com/img/dc2bd509163ceb6de03e.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-GW01&language=en_US&menumode=off&type=web
BABY CAI SHEN,Spadegaming,https://www.spadegaming.com/img/50cc788a7def9eb2df59.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-BC01&language=en_US&menumode=off&type=web
DOUBLE FORTUNES,Spadegaming,https://www.spadegaming.com/img/a79a755713c303b222cb.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-DF01&language=en_US&menumode=off&type=web
LUCKY CAI SHEN,Spadegaming,https://www.spadegaming.com/img/4cd066f2d159f170993e.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-LC01&language=en_US&menumode=off&type=web
DRAGON GOLD SA,Spadegaming,https://www.spadegaming.com/img/f177a0c3fdc89f308890.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-DG04&language=en_US&menumode=off&type=web
LUCKY KOI,Spadegaming,https://www.spadegaming.com/img/507a10ae510cf9e284c8.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-LK01&language=en_US&menumode=off&type=web
BIG PROSPERITY SA,Spadegaming,https://www.spadegaming.com/img/4b6b8259e82c981d3adb.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-FC03&language=en_US&menumode=off&type=web
DA FU XIAO FU,Spadegaming,https://www.spadegaming.com/img/5e5f0702b49fa2c21e0a.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-DX01&language=en_US&menumode=off&type=web
CAI YUAN GUANG JIN,Spadegaming,https://www.spadegaming.com/img/a7848ba1419930cd21a8.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-CY01&language=en_US&menumode=off&type=web
PROSPERITY GODS,Spadegaming,https://www.spadegaming.com/img/7ba461b660af37bd46d3.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-PG01&language=en_US&menumode=off&type=web
ZEUS,Spadegaming,https://www.spadegaming.com/img/f9eb04e511c35f1ffeb3.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-ZE01&language=en_US&menumode=off&type=web
5 FORTUNE DRAGONS,Spadegaming,https://www.spadegaming.com/img/e7af2a7511aa76981b4c.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-FD01&language=en_US&menumode=off&type=web
BROTHERS KINGDOM,Spadegaming,https://www.spadegaming.com/img/26db6186a45ca344f00d.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-GK01&language=en_US&menumode=off&type=web
PRINCESS WANG,Spadegaming,https://www.spadegaming.com/img/1384590f52afb3eda037.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-PW02&language=en_US&menumode=off&type=web
HOYEAH! MONKEY,Spadegaming,https://www.spadegaming.com/img/3023535b0e9df8b6136c.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-HY01&language=en_US&menumode=off&type=web
WONG CHOY SA,Spadegaming,https://www.spadegaming.com/img/e91fd3356286348bced9.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-WC03&language=en_US&menumode=off&type=web
FAFAFA 2,Spadegaming,https://www.spadegaming.com/img/22ac41836f0f0ef30937.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-LY02&language=en_US&menumode=off&type=web
MR CHU TYCOON,Spadegaming,https://www.spadegaming.com/img/49afa9170d6300fd702c.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-CH01&language=en_US&menumode=off&type=web
GOLDEN CHICKEN,Spadegaming,https://www.spadegaming.com/img/6f83f2f7c879e08c34eb.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-GC03&language=en_US&menumode=off&type=web
HIGHWAY FORTUNE,Spadegaming,https://www.spadegaming.com/img/e90ac256873d0628fe3b.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-HF01&language=en_US&menumode=off&type=web
SANTA GIFTS,Spadegaming,https://www.spadegaming.com/img/bd6218e63bad0f3ca93a.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-SG02&language=en_US&menumode=off&type=web
SEA EMPEROR,Spadegaming,https://www.spadegaming.com/img/3d5b5db70773d39cb7a1.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-NT01&language=en_US&menumode=off&type=web
FESTIVE LION,Spadegaming,https://www.spadegaming.com/img/5dc4b976dfc1f71dee6f.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-BB01&language=en_US&menumode=off&type=web
MERMAID,Spadegaming,https://www.spadegaming.com/img/3169944390269907c9bd.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-MR01&language=en_US&menumode=off&type=web
PIRATE KING,Spadegaming,https://www.spadegaming.com/img/14e9a3debfee0a0becad.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-PK01&language=en_US&menumode=off&type=web
EMPEROR GATE SA,Spadegaming,https://www.spadegaming.com/img/9365e28ededc0d27d672.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-EG03&language=en_US&menumode=off&type=web
ICELAND SA,Spadegaming,https://www.spadegaming.com/img/c2f8dc1a7bf0d968847b.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-IL03&language=en_US&menumode=off&type=web
CAI SHEN 888,Spadegaming,https://www.spadegaming.com/img/b57d94c6290c1ae2d562.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-CS01&language=en_US&menumode=off&type=web
GOLDEN FIST,Spadegaming,https://www.spadegaming.com/img/3476d588ffc2cd910163.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-GF01&language=en_US&menumode=off&type=web
WOW PROSPERITY,Spadegaming,https://www.spadegaming.com/img/9e7c7a72e755f532ff2a.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-WP02&language=en_US&menumode=off&type=web
GOLDEN MONKEY,Spadegaming,https://www.spadegaming.com/img/4e517af6f965213e7d10.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-FM02&language=en_US&menumode=off&type=web
JUNGLE KING,Spadegaming,https://www.spadegaming.com/img/812d3054b8948fe537d1.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-TZ01&language=en_US&menumode=off&type=web
FIST OF GOLD,Spadegaming,https://www.spadegaming.com/img/b4f1802ca1d4cb19e4d5.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-FG01&language=en_US&menumode=off&type=web
TIGER WARRIOR,Spadegaming,https://www.spadegaming.com/img/e20190da99dde583a647.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-TW01&language=en_US&menumode=off&type=web
KING PHARAOH,Spadegaming,https://www.spadegaming.com/img/25c990e4ea8a1013c98a.jpg,https://lobbyeur.sgplayfun.com/index.jsp?game=S-PH02&language=en_US&menumode=off&type=web
